leaderboard,timestamp,tier,score
leagues,2020-01-14T19:03:58Z,0,995
leagues,2020-01-20T13:20:38Z,1,2709
leagues,2020-01-27T09:23:29Z,2,1252
leagues,2020-02-03T06:52:04Z,3,2207
leagues,2020-02-10T06:34:26Z,4,2266
leagues,2020-02-17T06:10:47Z,5,1358
leagues,2020-02-24T06:56:38Z,6,944
leagues,2020-03-02T06:15:06Z,7,1630
leagues,2020-03-09T06:57:07Z,8,1352
leagues,2020-03-16T07:01:48Z,9,477
leagues,2020-03-23T07:23:07Z,9,496
leagues,2020-03-30T06:26:24Z,8,338
leagues,2020-04-06T17:22:48Z,7,70
leagues,2020-04-13T10:46:06Z,6,45
leagues,2021-01-16T21:40:57Z,5,114
leagues,2021-01-18T07:30:12Z,6,4084
leagues,2021-01-25T07:30:54Z,7,6285
leagues,2021-02-01T07:26:48Z,8,3752
leagues,2021-02-08T07:29:54Z,9,4109
leagues,2021-02-15T07:25:34Z,9,4015
leagues,2021-02-22T06:59:01Z,9,4442
leagues,2021-03-01T08:15:29Z,9,4012
leagues,2021-03-08T07:55:43Z,9,4436
leagues,2021-03-15T07:29:09Z,9,4725
leagues,2021-03-22T07:20:22Z,9,6906
leagues,2021-03-29T07:03:12Z,9,4151
leagues,2021-04-05T07:17:27Z,9,4160
leagues,2021-04-12T07:06:54Z,9,4234
leagues,2021-04-19T06:06:08Z,9,2858
leagues,2021-04-26T06:34:07Z,9,3593
leagues,2021-05-03T08:26:06Z,9,2471
leagues,2021-05-10T07:14:01Z,9,2346
leagues,2021-05-17T05:54:48Z,9,770
leagues,2021-05-24T09:55:55Z,9,178
leagues,2021-05-31T13:16:07Z,8,548
leagues,2021-06-07T05:54:58Z,8,1653
leagues,2021-06-14T12:05:46Z,9,94
leagues,2021-06-21T09:52:47Z,8,52
leagues,2021-06-29T10:37:38Z,7,360
leagues,2021-07-05T13:54:33Z,8,408
leagues,2021-07-12T12:21:20Z,8,1511
leagues,2021-07-19T09:04:45Z,9,1279
leagues,2021-07-26T12:58:07Z,9,1280
leagues,2021-08-02T06:49:07Z,9,2149
leagues,2021-08-09T06:50:02Z,9,4438
leagues,2021-08-16T06:13:35Z,9,3316
leagues,2021-08-23T06:41:44Z,9,3071
leagues,2021-08-30T08:06:57Z,9,2114
leagues,2021-09-06T06:08:34Z,9,2012
leagues,2021-09-13T06:01:52Z,8,1374
leagues,2021-09-20T05:57:32Z,8,792
leagues,2021-09-27T05:42:09Z,7,887
leagues,2021-10-04T13:26:16Z,7,474
leagues,2021-10-11T13:15:10Z,7,681
leagues,2021-10-18T06:23:13Z,7,277
leagues,2021-10-25T06:43:54Z,6,949
leagues,2021-11-01T06:40:27Z,7,118
leagues,2021-11-08T17:58:41Z,6,243
leagues,2021-11-15T07:07:29Z,7,203
leagues,2021-11-22T20:01:01Z,7,505
leagues,2021-11-29T18:26:09Z,8,346
leagues,2021-12-06T08:04:03Z,7,109
leagues,2021-12-13T08:28:32Z,6,179
leagues,2021-12-20T19:23:59Z,6,416
leagues,2021-12-27T10:05:12Z,7,4194
